Model,Beschrijving,Art (★),Prompting (★),Realism (★),Typography (★),Kosten ($),Type
HiDream I1 Dev,Maakt verbluffende artistieke afbeeldingen met uitzonderlijke helderheid en detail.,★★★★★,★★★☆☆,★★★★☆,★★☆☆☆,$$$$$,Image
Flux,Een geweldig algemeen model voor lage kosten.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Clarity Upscaler,Een creatieve upscaler die detail toevoegt en opschaalt tot 4x.,★★★☆☆,★★★☆☆,★★★★☆,★★☆☆☆,$$$$,Image
Flux 2 Klein 9B Fast,Flux 2 Klein 9B is een 4-stap gedistilleerd beeldgeneratie en bewerkingsmodel.,★★☆☆☆,★★☆☆☆,★★★☆☆,★★☆☆☆,$$$$,Image
Nano Banana Pro,De volgende versie van Nano Banana met verbeterde mogelijkheden en prestaties.,★★★☆☆,★★★★☆,★★☆☆☆,★★☆☆☆,$$$$$,Image
Seedream 4.0,Next-gen multimodaal AI model voor ultra-snelle hoge resolutie generatie (2K-4K).,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$$,Image
Z-Image Turbo,Een betaalbaar model met geweldige kwaliteit voor lage kosten.,★★★★☆,★★★★☆,★★★★☆,★★★☆☆,$$$$,Image
Nano Banana,AKA Gemini Flash 2.5 - Google's nieuwste model met first-class startafbeelding ondersteuning.,★★★☆☆,★★★★☆,★★★☆☆,★★☆☆☆,$$$$$,Image
Seedream 4.5,Een verbeterde versie van Seedream 4.0.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$,Image
HiDream I1 Fast,"Snellere en goedkopere versie van HiDream, geweldig voor artistieke afbeeldingen.",★★★★☆,★★★☆☆,★★★★☆,★★☆☆☆,$$$$$,Image
Seedream 3.0,Een model van ByteDance met focus op realisme en detail.,★★★★☆,★★★★☆,★★★★★,★★★☆☆,$$$$$,Image
Qwen Image 2512,Qwen's nieuwste update met grote verbeteringen in realisme. Fotorealistische mensen.,★★★★☆,★★★★☆,★★★★★,★★★★☆,$$$$,Image
